game_id,season,type,date_time,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz
2013021033,20132014,R,18-03-14,2014-03-18T23:30:00Z,16,4,2,3,home win OT,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013021173,20132014,R,06-04-14,2014-04-06T23:30:00Z,7,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020675,20132014,R,11-01-14,2014-01-11T18:00:00Z,14,4,6,3,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020328,20132014,R,22-11-13,2013-11-22T00:00:00Z,7,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2013020245,20132014,R,09-11-13,2013-11-09T18:00:00Z,22,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020861,20142015,R,20-02-15,2015-02-20T00:00:00Z,7,4,3,2,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020242,20142015,R,15-11-14,2014-11-15T00:00:00Z,29,4,4,3,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021204,20142015,R,09-04-15,2015-04-09T23:00:00Z,12,4,3,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020613,20142015,R,10-01-15,2015-01-10T18:00:00Z,6,4,3,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020646,20142015,R,16-01-15,2015-01-16T00:00:00Z,23,4,4,0,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020300,20142015,R,23-11-14,2014-11-23T00:00:00Z,29,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020207,20142015,R,09-11-14,2014-11-09T00:00:00Z,21,4,3,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020111,20142015,R,25-10-14,2014-10-25T23:00:00Z,17,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020847,20142015,R,18-02-15,2015-02-18T00:00:00Z,29,4,5,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020126,20142015,R,28-10-14,2014-10-28T23:00:00Z,26,4,2,3,home win OT,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020713,20142015,R,30-01-15,2015-01-30T00:00:00Z,52,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020006,20142015,R,09-10-14,2014-10-09T23:00:00Z,1,4,6,4,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020929,20142015,R,01-03-15,2015-03-01T01:00:00Z,3,4,2,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021183,20142015,R,05-04-15,2015-04-05T16:30:00Z,5,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021118,20142015,R,28-03-15,2015-03-28T17:00:00Z,28,4,3,2,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020884,20142015,R,22-02-15,2015-02-22T17:30:00Z,15,4,2,3,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020024,20142015,R,11-10-14,2014-10-11T23:00:00Z,8,4,4,3,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020585,20142015,R,07-01-15,2015-01-07T00:00:00Z,9,4,1,2,home win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021191,20142015,R,07-04-15,2015-04-07T23:00:00Z,2,4,4,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021216,20142015,R,11-04-15,2015-04-11T16:30:00Z,9,4,3,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020684,20142015,R,21-01-15,2015-01-21T00:30:00Z,5,4,2,3,home win OT,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020039,20142015,R,14-10-14,2014-10-14T23:00:00Z,24,4,4,3,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020174,20142015,R,05-11-14,2014-11-05T00:00:00Z,22,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020436,20142015,R,13-12-14,2014-12-13T18:00:00Z,12,4,1,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
