gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
59172,201205120BOS,NBA,1,2012,12-05-12,73,1,PHI,Sixers,91,1551.4618,1549.6407,45.775471,BOS,Celtics,92,1634.7042,1636.5253,A,L,0.25829905,NULL
59311,201211120PHI,NBA,0,2013,12-11-12,7,0,PHI,Sixers,96,1551.6627,1536.3802,44.369999,MIL,Bucks,105,1508.05,1523.7825,H,L,0.69510823,NULL
59531,201212120PHI,NBA,0,2013,12-12-12,22,0,PHI,Sixers,89,1483.6135,1474.9781,37.942497,CHI,Bulls,96,1576.4604,1585.0958,H,L,0.51029265,NULL
59672,201301010LAL,NBA,1,2013,01-01-13,32,0,PHI,Sixers,103,1467.7783,1478.7714,38.338451,LAL,Lakers,99,1551.0206,1540.0276,A,W,0.25829917,NULL
59904,201302010PHI,NBA,0,2013,01-02-13,46,0,PHI,Sixers,89,1442.791,1447.3494,35.080334,SAC,Kings,80,1367.3629,1362.8046,H,W,0.73298991,NULL
60559,201311010WAS,NBA,1,2014,01-11-13,2,0,PHI,Sixers,109,1469.418,1480.5519,38.503067,WAS,Wizards,102,1452.7168,1441.5829,A,W,0.38236862,NULL
60775,201312010DET,NBA,1,2014,01-12-13,18,0,PHI,Sixers,100,1387.3344,1379.1199,28.292322,DET,Pistons,115,1407.011,1415.2255,A,L,0.33427471,NULL
59685,201301020PHO,NBA,1,2013,02-01-13,33,0,PHI,Sixers,89,1478.7714,1472.7454,37.709694,PHO,Suns,95,1442.377,1448.403,A,L,0.4094733,NULL
60091,201303020PHI,NBA,0,2013,02-03-13,57,0,PHI,Sixers,104,1382.3634,1391.7091,29.517443,GSW,Warriors,97,1511.8562,1502.5105,H,W,0.45765811,NULL
60565,201311020PHI,NBA,0,2014,02-11-13,3,0,PHI,Sixers,107,1480.5519,1484.9669,38.964764,CHI,Bulls,104,1520.1532,1515.7382,H,W,0.58605552,NULL
60101,201303030WAS,NBA,1,2013,03-03-13,58,0,PHI,Sixers,87,1391.7091,1388.7683,29.233765,WAS,Wizards,90,1443.1537,1446.0945,A,L,0.29488301,NULL
60326,201304030CHA,NBA,1,2013,03-04-13,74,0,PHI,Sixers,83,1425.5579,1416.7806,31.981955,CHA,Hornets,88,1261.2333,1270.0105,A,L,0.5915271,NULL
60794,201312030PHI,NBA,0,2014,03-12-13,19,0,PHI,Sixers,126,1379.1199,1381.6309,28.530882,ORL,Magic,125,1363.4053,1360.8943,H,W,0.66063088,NULL
59697,201301040OKC,NBA,1,2013,04-01-13,34,0,PHI,Sixers,85,1472.7454,1468.3933,37.256546,OKC,Thunder,109,1680.1621,1684.5142,A,L,0.14558798,NULL
59925,201302040PHI,NBA,0,2013,04-02-13,47,0,PHI,Sixers,78,1447.3494,1453.189,35.681362,ORL,Magic,61,1339.8197,1333.9801,H,W,0.7675693,NULL
60577,201311040PHI,NBA,0,2014,04-11-13,4,0,PHI,Sixers,90,1484.9669,1467.7585,37.169216,GSW,Warriors,110,1571.3676,1588.5759,H,L,0.51956105,NULL
59710,201301050SAS,NBA,1,2013,05-01-13,35,0,PHI,Sixers,86,1468.3933,1464.731,36.875919,SAS,Spurs,109,1701.1991,1704.8615,A,L,0.12833244,NULL
60110,201303050PHI,NBA,0,2013,05-03-13,59,0,PHI,Sixers,101,1388.7683,1381.4171,28.530046,BOS,Celtics,109,1543.106,1550.4572,H,L,0.42243323,NULL
60339,201304050ATL,NBA,1,2013,05-04-13,75,0,PHI,Sixers,101,1416.7806,1436.1687,33.937012,ATL,Hawks,90,1505.3643,1485.9762,A,W,0.25245255,NULL
59942,201302060PHI,NBA,0,2013,06-02-13,48,0,PHI,Sixers,69,1453.189,1439.1045,34.236206,IND,Pacers,88,1583.6124,1597.6969,H,L,0.45632869,NULL
60112,201303060ATL,NBA,1,2013,06-03-13,60,0,PHI,Sixers,96,1381.4171,1377.693,28.176573,ATL,Hawks,107,1520.6501,1524.3743,A,L,0.20146936,NULL
60353,201304060MIA,NBA,1,2013,06-04-13,76,0,PHI,Sixers,87,1436.1687,1434.103,33.726955,MIA,Heat,106,1745.1736,1747.2393,A,L,0.086714983,NULL
60595,201311060PHI,NBA,0,2014,06-11-13,5,0,PHI,Sixers,102,1467.7585,1448.3662,35.163746,WAS,Wizards,116,1439.5535,1458.9458,H,L,0.67656004,NULL
60808,201312060CHA,NBA,1,2014,06-12-13,20,0,PHI,Sixers,88,1381.6309,1371.701,27.593077,CHA,Hornets,105,1377.796,1387.7258,A,L,0.36503625,NULL
60821,201312070PHI,NBA,0,2014,07-12-13,21,0,PHI,Sixers,92,1371.701,1365.397,27.005663,DEN,Nuggets,103,1605.1886,1611.4927,H,L,0.31682184,NULL
59727,201301080PHI,NBA,0,2013,08-01-13,36,0,PHI,Sixers,89,1464.731,1443.7794,34.714161,BRK,Nets,109,1492.4449,1513.3965,H,L,0.60255247,NULL
60136,201303080MIA,NBA,1,2013,08-03-13,61,0,PHI,Sixers,93,1377.693,1376.7512,28.087517,MIA,Heat,102,1737.5211,1738.4629,A,L,0.066175163,NULL
60607,201311080PHI,NBA,0,2014,08-11-13,6,0,PHI,Sixers,94,1448.3662,1454.5837,35.804115,CLE,Cavaliers,79,1370.1068,1363.8893,H,W,0.73616755,NULL
59738,201301090TOR,NBA,1,2013,09-01-13,37,0,PHI,Sixers,72,1443.7794,1434.0182,33.718338,TOR,Raptors,90,1452.5841,1462.3453,A,L,0.34834313,NULL
59963,201302090PHI,NBA,0,2013,09-02-13,49,0,PHI,Sixers,87,1439.1045,1441.8491,34.51659,CHA,Hornets,76,1243.3215,1240.5769,H,W,0.8458823,NULL
60367,201304090BRK,NBA,1,2013,09-04-13,77,0,PHI,Sixers,83,1434.103,1427.7872,33.087193,BRK,Nets,104,1554.7556,1561.0714,A,L,0.21922672,NULL
60614,201311090CLE,NBA,1,2014,09-11-13,7,0,PHI,Sixers,125,1454.5837,1449.916,35.323109,CLE,Cavaliers,127,1363.8893,1368.557,A,L,0.48661143,NULL
60832,201312090PHI,NBA,0,2014,09-12-13,22,0,PHI,Sixers,83,1365.397,1359.4728,26.459507,LAC,Clippers,94,1612.1088,1618.033,H,L,0.30057928,NULL
60153,201303100ORL,NBA,1,2013,10-03-13,62,0,PHI,Sixers,91,1376.7512,1367.3601,27.20697,ORL,Magic,99,1267.4827,1276.8738,A,L,0.51333535,NULL
60383,201304100PHI,NBA,0,2013,10-04-13,78,0,PHI,Sixers,101,1427.7872,1406.7527,30.98679,ATL,Hawks,124,1484.5255,1505.5601,H,L,0.56193882,NULL
59981,201302110PHI,NBA,0,2013,11-02-13,50,0,PHI,Sixers,90,1441.8491,1431.1633,33.428703,LAC,Clippers,107,1621.0966,1631.7823,H,L,0.38789126,NULL
60157,201303110PHI,NBA,0,2013,11-03-13,63,0,PHI,Sixers,106,1367.3601,1379.3247,28.33119,BRK,Nets,97,1527.1415,1515.1769,H,W,0.41480678,NULL
60631,201311110PHI,NBA,0,2014,11-11-13,8,0,PHI,Sixers,85,1449.916,1439.5999,34.265842,SAS,Spurs,109,1690.4374,1700.7535,H,L,0.30812368,NULL
60849,201312110MIN,NBA,1,2014,11-12-13,23,0,PHI,Sixers,99,1359.4728,1357.0781,26.240389,MIN,Timberwolves,106,1530.9668,1533.3615,A,L,0.17323875,NULL
59758,201301120PHI,NBA,0,2013,12-01-13,38,0,PHI,Sixers,107,1434.0182,1443.8187,34.718185,HOU,Rockets,100,1577.4817,1567.6812,H,W,0.43777525,NULL
60402,201304120WAS,NBA,1,2013,12-04-13,79,0,PHI,Sixers,97,1406.7527,1425.0322,32.809353,WAS,Wizards,86,1471.4178,1453.1383,A,W,0.27930957,NULL
60994,201401010DEN,NBA,1,2014,01-01-14,31,0,PHI,Sixers,114,1339.7588,1364.83,26.95314,DEN,Nuggets,102,1521.1556,1496.0845,A,W,0.16522551,NULL
61223,201402010DET,NBA,1,2014,01-02-14,48,0,PHI,Sixers,96,1316.8608,1309.8289,22.125536,DET,Pistons,113,1387.2245,1394.2565,A,L,0.27275449,NULL
61405,201403010PHI,NBA,0,2014,01-03-14,59,0,PHI,Sixers,103,1217.6475,1212.1063,15.013396,WAS,Wizards,122,1550.0688,1555.61,H,L,0.20785148,NULL
61882,201411010PHI,NBA,0,2015,01-11-14,3,0,PHI,Sixers,96,1306.175,1299.1923,21.244967,MIA,Heat,114,1585.8995,1592.8823,H,L,0.26219767,NULL
62096,201412010PHI,NBA,0,2015,01-12-14,17,0,PHI,Sixers,103,1244.2557,1243.0399,17.042089,SAS,Spurs,109,1721.4805,1722.6963,H,L,0.10234098,NULL
61005,201401020SAC,NBA,1,2014,02-01-14,32,0,PHI,Sixers,113,1364.83,1380.3174,28.405975,SAC,Kings,104,1413.0355,1397.5481,A,W,0.2987746,NULL
