DIST,DC_KEY,CODE,DATE_,TIME,RACE,SEX,LATINO,AGE,WOUND,INSIDE,OUTSIDE,FATAL,OFFICER_INVOLVED,OFFENDER_INJURED,OFFENDER_DECEASED,LOCATION,SHAPE,Police Districts
39,201539095819,0411,11/28/2015 12:00:00 AM,18:05 pm,B,M,0,19,multi,0,-1,0,N,N,N,2200 Block of W. Indiana Ave.,POINT (-75.168156 40.000458),21
39,201539094438,0301,11/23/2015 12:00:00 AM,04:30 am,B,M,0,45,multi,0,-1,0,N,N,N,3700 Block of N. 17th St.,POINT (-75.156075 40.009914),21
39,201539096593,0411,12/01/2015 12:00:00 AM,15:20 pm,B,M,0,20,head-m,0,-1,0,N,N,N,5500 Block of Wissahickon Ave.,POINT (-75.181767 40.025686),21
39,201539094546,0111,11/23/2015 12:00:00 AM,04:03 am,B,M,0,19,head,0,-1,-1,N,N,N,4200 Block of Hicks St.,POINT (-75.151669 40.017625),21
39,201539098802,0111,12/09/2015 12:00:00 AM,12:55 pm,B,M,0,31,head-m,0,-1,-1,N,N,N,200 Block of Apsley St.,POINT (-75.164675 40.021901),21
39,201539099143,0111,12/10/2015 12:00:00 AM,15:30 pm,B,M,0,49,multi,-1,0,-1,N,N,N,3800 Block of Germantwon Ave.,POINT (-75.152209 40.012518),21
39,201539100668,0411,12/16/2015 12:00:00 AM,00:13 am,B,M,0,21,back,0,-1,0,N,N,N,2600 Block of W. Lehigh Ave.,POINT (-75.175485 39.996684),21
39,201539100685,0411,12/16/2015 12:00:00 AM,02:40 am,B,M,0,47,multi,0,-1,0,N,N,N,100 Block of W. Manheim St.,POINT (-75.167057 40.028471),21
39,201539101376,0411,12/18/2015 12:00:00 AM,15:50 pm,B,M,0,25,arm,0,-1,0,N,N,N,2900 Block of W. Lehigh Ave.,POINT (-75.18006 39.997287),21
39,201539102488,0111,12/22/2015 12:00:00 AM,21:45 pm,B,M,0,26,multi,0,-1,-1,N,N,N,3000 Block of Carlisle St.,POINT (-75.154386 39.999465),21
39,201539102501,0411,12/22/2015 12:00:00 AM,23:34 pm,B,M,0,22,leg,0,-1,0,N,N,N,2600 Block of W. Lehigh Ave.,POINT (-75.175235 39.996652),21
39,201539102508,0411,12/22/2015 12:00:00 AM,23:34 pm,B,M,0,18,foot,0,-1,0,N,N,N,2600 Block of W. Lehigh Ave.,POINT (-75.175235 39.996652),21
39,201539102511,0411,12/22/2015 12:00:00 AM,23:34 pm,B,M,0,30,foot,0,-1,0,N,N,N,2600 Block of W. Lehigh Ave.,POINT (-75.175235 39.996652),21
