OBJECTID,CRN,CRASH_YEAR,UNIT_NUM,VEH_TYPE,BODY_TYPE,VEH_MOVEMENT,TRAVEL_SPD,VEHICLE_FAILURE
617,2011016933,2011,2,3,39,3,0,0
618,2011016936,2011,1,1,4,12,999,0
619,2011016936,2011,2,,,,,0
620,2011016940,2011,1,1,4,1,999,1
621,2011016940,2011,2,3,39,1,999,1
622,2011016941,2011,1,1,5,1,999,0
623,2011016941,2011,2,4,51,1,999,0
624,2011016942,2011,1,5,75,1,20,0
625,2011016942,2011,2,1,4,1,999,0
626,2011016943,2011,1,4,51,1,999,0
627,2011016943,2011,2,1,4,7,999,0
628,2011016943,2011,3,1,4,6,0,0
629,2011017092,2011,1,5,79,15,50,0
630,2011017092,2011,2,1,4,1,50,0
631,2011017595,2011,1,1,4,12,999,0
632,2011017595,2011,2,,,,,0
633,2011017702,2011,1,6,15,1,45,0
634,2011017703,2011,1,1,4,6,0,0
635,2011017703,2011,2,99,,1,40,0
636,2011017705,2011,1,1,5,1,50,0
637,2011017706,2011,1,1,2,17,60,1
638,2011017708,2011,1,1,4,1,110,0
639,2011017709,2011,1,1,4,1,45,0
640,2011017710,2011,1,1,4,17,70,0
641,2011017711,2011,1,1,4,16,60,0
642,2011017713,2011,1,1,4,1,45,0
643,2011017713,2011,2,4,51,3,0,0
644,2011017716,2011,1,6,15,1,55,1
645,2011017914,2011,1,4,51,1,55,0
646,2011017916,2011,1,6,12,2,25,0
647,2011017916,2011,2,1,4,3,0,0
648,2011017916,2011,3,1,4,1,25,0
649,2011017920,2011,1,1,2,1,70,0
650,2011018426,2011,1,1,4,1,30,0
651,2011018430,2011,1,1,4,16,45,0
652,2011018431,2011,1,1,4,17,30,0
653,2011018431,2011,2,6,15,17,20,0
654,2011018561,2011,1,5,51,15,65,0
655,2011018561,2011,2,1,4,1,50,0
656,2011018561,2011,3,1,4,1,55,0
657,2011018562,2011,1,6,15,1,20,0
658,2011018562,2011,2,5,73,3,0,0
659,2011018564,2011,1,4,51,1,30,0
660,2011018564,2011,2,1,15,2,20,0
661,2011018771,2011,1,5,79,15,999,0
662,2011018771,2011,2,1,4,1,45,0
663,2011018842,2011,1,1,3,12,30,0
664,2011018842,2011,2,1,4,1,30,0
665,2011018917,2011,1,1,3,16,25,0
666,2011018917,2011,2,1,4,16,10,0
667,2011018917,2011,3,1,4,16,2,0
668,2011018918,2011,1,1,4,1,40,0
669,2011018918,2011,2,6,15,1,40,0
670,2011018919,2011,1,1,4,1,25,0
671,2011018919,2011,2,6,15,1,10,0
672,2011018938,2011,1,1,4,16,999,0
673,2011018938,2011,2,1,4,16,45,0
674,2011019031,2011,1,6,12,1,65,0
675,2011019031,2011,2,1,4,1,2,0
