OBJECTID,CRN,CRASH_YEAR,LANE_COUNT,SPEED_LIMIT,ACCESS_CTRL,RDWY_ORIENT
5402,2011055719,2011,4,55,1,S
5403,2011055744,2011,3,40,3,N
5404,2011055745,2011,2,35,3,E
5405,2011055746,2011,3,25,3,N
5406,2011055746,2011,3,25,3,S
5407,2011055746,2011,2,25,,W
5408,2011055747,2011,2,25,,S
5409,2011055747,2011,2,25,,W
5410,2011055748,2011,2,30,3,E
5411,2011055748,2011,2,40,3,W
5412,2011055748,2011,2,,,S
5413,2011055749,2011,4,35,,W
5414,2011055749,2011,2,35,,S
5415,2011055750,2011,2,25,,S
5416,2011055751,2011,2,,,N
5417,2011055753,2011,1,,,N
5418,2011055754,2011,2,30,3,S
5419,2011055755,2011,2,35,3,N
5420,2011055756,2011,2,35,3,E
5421,2011055890,2011,2,55,1,E
5422,2011055891,2011,3,55,1,W
5423,2011055892,2011,4,55,1,N
5424,2011055940,2011,1,25,,E
5425,2011055940,2011,1,25,,N
5426,2011055941,2011,1,,,E
5427,2011055943,2011,1,,,N
5428,2011055943,2011,1,15,,W
5429,2011056004,2011,2,35,3,E
5430,2011056004,2011,2,35,3,W
5431,2011056004,2011,2,25,,N
5432,2011056008,2011,3,45,,W
5433,2011056008,2011,1,,,W
5434,2011056157,2011,3,50,1,E
5435,2011056158,2011,4,55,1,N
5436,2011056159,2011,3,55,1,W
5437,2011056220,2011,4,30,3,S
5438,2011056220,2011,2,35,3,E
5439,2011056220,2011,2,35,3,W
5440,2011056327,2011,3,55,1,S
5441,2011056377,2011,2,25,3,E
5442,2011056377,2011,2,25,3,W
5443,2011056377,2011,2,50,3,E
5444,2011056377,2011,2,50,3,W
5445,2011056377,2011,2,25,,W
5446,2011056378,2011,2,25,,W
5447,2011056378,2011,1,,,N
5448,2011056381,2011,2,25,3,S
5449,2011056385,2011,2,25,3,E
5450,2011056385,2011,2,25,3,W
5451,2011056385,2011,2,35,3,S
5452,2011056385,2011,2,,,S
5453,2011056386,2011,1,,,N
5454,2011056391,2011,1,,,W
5455,2011056391,2011,2,,,N
5456,2011056392,2011,4,35,3,N
5457,2011056392,2011,2,25,3,S
5458,2011056392,2011,2,45,3,W
5459,2011056392,2011,2,25,,S
5460,2011056393,2011,2,,,S
5461,2011056394,2011,2,,,S
5462,2011056394,2011,2,,,E
5463,2011056395,2011,2,35,,U
5464,2011056395,2011,2,35,,E
5465,2011056396,2011,2,,,N
5466,2011056396,2011,2,25,,E
5467,2011056397,2011,2,25,3,E
5468,2011056397,2011,2,25,,W
5469,2011056398,2011,3,45,3,N
5470,2011056399,2011,3,40,3,S
5471,2011056399,2011,2,,,E
5472,2011056400,2011,1,,1,S
5473,2011056400,2011,2,,,U
5474,2011056401,2011,1,25,,N
5475,2011056402,2011,2,30,3,W
5476,2011056402,2011,2,25,,N
5477,2011056403,2011,2,30,3,S
5478,2011056403,2011,2,,,E
5479,2011056404,2011,1,,,W
5480,2011056404,2011,2,,,N
5481,2011056405,2011,2,45,3,E
5482,2011056406,2011,2,,,N
5483,2011056407,2011,2,15,,N
5484,2011056408,2011,1,25,,N
5485,2011056409,2011,2,25,3,B
5486,2011056409,2011,1,25,,W
5487,2011056409,2011,2,25,,N
5488,2011056410,2011,1,25,,E
5489,2011056410,2011,1,25,,S
5490,2011056411,2011,3,25,3,E
5491,2011056411,2011,3,25,3,W
5492,2011056411,2011,99,,,W
5493,2011056412,2011,1,15,,W
5494,2011056413,2011,1,,,N
5495,2011056414,2011,2,35,,N
5496,2011056415,2011,4,30,3,N
5497,2011056415,2011,4,30,3,S
5498,2011056415,2011,1,,,E
5499,2011056416,2011,2,35,3,N
5500,2011056416,2011,2,,,W
5501,2011056417,2011,2,25,,N
5502,2011056417,2011,2,25,,W
5503,2011056418,2011,3,35,,S
5504,2011056419,2011,3,50,1,N
5505,2011056603,2011,1,15,,N
5506,2011056603,2011,2,20,,W
5507,2011056604,2011,2,35,3,E
5508,2011056604,2011,2,25,,N
5509,2011056605,2011,3,40,2,N
5510,2011056607,2011,1,35,,W
5511,2011056607,2011,2,35,,S
5512,2011056742,2011,1,25,,S
5513,2011056742,2011,1,25,,W
5514,2011056743,2011,2,35,3,S
5515,2011056743,2011,4,25,,W
5516,2011056744,2011,1,25,3,E
5517,2011056744,2011,1,25,,N
5518,2011056745,2011,1,25,,E
5519,2011056745,2011,2,25,,N
5520,2011056746,2011,2,30,3,U
5521,2011056746,2011,2,,,U
5522,2011056747,2011,2,30,3,W
5523,2011056747,2011,1,35,,N
5524,2011056747,2011,2,,,N
5525,2011056748,2011,2,25,3,W
5526,2011056749,2011,3,25,3,E
5527,2011056749,2011,3,25,3,W
5528,2011056749,2011,2,25,,W
5529,2011056749,2011,2,45,,S
5530,2011056750,2011,3,35,3,N
5531,2011056751,2011,2,30,3,N
5532,2011056751,2011,2,30,3,S
5533,2011056751,2011,2,30,,N
5534,2011056752,2011,2,25,3,E
5535,2011056752,2011,2,25,3,S
5536,2011056753,2011,2,,,E
5537,2011056753,2011,1,25,,N
5538,2011056754,2011,2,,,N
5539,2011056756,2011,2,25,3,E
5540,2011056756,2011,1,25,,S
5541,2011056758,2011,2,25,3,E
5542,2011056758,2011,2,25,3,W
5543,2011056758,2011,1,,,N
5544,2011056759,2011,2,25,,E
5545,2011056759,2011,2,25,,N
5546,2011056760,2011,1,,,W
5547,2011056760,2011,2,25,,S
5548,2011056761,2011,1,25,,N
5549,2011056762,2011,2,35,3,N
5550,2011056763,2011,4,20,3,E
5551,2011056763,2011,4,25,3,W
5552,2011056763,2011,1,,,W
5553,2011056764,2011,1,25,,W
5554,2011056764,2011,1,25,,N
5555,2011056765,2011,2,25,3,E
5556,2011056765,2011,1,25,,S
5557,2011056766,2011,2,35,3,N
5558,2011056766,2011,2,35,3,S
5559,2011056766,2011,2,25,3,E
5560,2011056766,2011,2,,,E
5561,2011056766,2011,1,,,E
5562,2011056767,2011,6,35,,E
5563,2011056768,2011,3,35,3,W
5564,2011056768,2011,2,25,,S
5565,2011056769,2011,3,35,3,E
5566,2011056770,2011,3,35,3,E
5567,2011056770,2011,2,15,,S
5568,2011056771,2011,3,35,3,W
5569,2011056771,2011,2,25,,S
5570,2011056772,2011,2,,,E
5571,2011056772,2011,2,,,N
5572,2011056773,2011,1,35,,E
5573,2011056774,2011,1,25,,N
5574,2011056774,2011,1,25,,W
5575,2011056775,2011,2,25,,E
5576,2011056776,2011,2,25,,W
5577,2011056776,2011,2,25,,S
5578,2011056777,2011,2,30,3,S
5579,2011056778,2011,2,35,,N
5580,2011056779,2011,2,25,,N
5581,2011056780,2011,2,,,E
5582,2011056780,2011,2,,,N
5583,2011056781,2011,4,35,3,W
5584,2011056781,2011,1,,,S
5585,2011056782,2011,2,35,3,N
5586,2011056782,2011,2,,,E
5587,2011056783,2011,3,25,3,N
5588,2011056784,2011,2,25,3,W
5589,2011056784,2011,1,25,,N
5590,2011056785,2011,1,25,,N
5591,2011056785,2011,1,25,,W
5592,2011056786,2011,2,35,3,N
5593,2011056786,2011,2,35,3,S
5594,2011056786,2011,1,25,,N
5595,2011056787,2011,1,25,,E
